cvegeo,avg_schooling_years,pct_homes_internet,pct_homes_car,pct_homes_computer,avg_occupants_per_home
2103600010077,5.41,4.55,9.09,3.41,4.67
2103700010040,7.66,15.87,24.87,22.75,3.14
2103700010055,7.89,19.91,39.81,19.91,3.16
2103800010048,7.65,17.77,36.05,9.40,4.45
2103800010052,8.24,23.29,34.19,11.75,4.41
2103800010067,7.84,20.42,44.83,14.85,4.38
2103800010071,9.18,,,0.00,3.75
2103800010086,6.82,10.71,46.43,,3.86
2103800010090,8.25,,50.00,,4.61
2103800010103,,,,,
2103900010030,9.34,17.26,30.96,22.19,3.38
2104000010046,8.52,16.94,37.21,12.96,4.04
2104000010050,8.02,8.85,33.63,8.85,4.02
2104000010065,8.42,17.07,35.19,16.03,4.19
210400001007A,,,,,
2104000020031,7.28,10.55,31.13,8.18,4.35
2104000020084,7.49,9.52,26.67,5.40,4.4
2104100010062,10.49,54.70,42.45,41.64,3.8
2104100010109,12.85,75.17,67.08,67.27,3.13
2104100010240,10.15,48.13,43.90,37.86,3.86
2104100010255,12.47,76.90,70.66,65.26,3.62
2104100010289,12.06,68.00,59.00,52.00,3.25
2104100010310,15.24,93.02,87.91,86.05,2.85
2104100040325,10.67,53.51,47.92,41.65,3.85
2104100080096,10.88,63.54,40.92,47.13,3.04
2104100080113,11.42,72.45,69.39,64.29,3.77
2104100080128,0.00,,,,0.00
2104100080132,10.31,48.16,42.01,43.44,3.52
2104100080147,10.48,60.89,45.23,45.78,3.93
2104100080151,12.56,74.07,63.62,67.79,2.8
2104100080202,10.72,53.76,39.96,46.76,3.35
2104100080217,9.98,54.85,42.82,40.05,4.07
2104100080221,10.17,58.20,40.47,42.35,3.83
2104100080236,11.08,67.13,43.96,52.42,3.32
2104100080274,0.00,,,,0.00
2104100120185,10.46,56.66,46.22,43.59,3.67
210410012019A,9.31,35.34,35.26,23.56,4.17
210410012026A,7.36,26.09,30.43,,4.43
2104100120293,11.95,63.92,50.66,52.58,3.22
2104100120397,8.71,23.81,52.38,23.81,4.33
210410013001A,11.51,68.62,62.65,56.68,3.58
210410027033A,10.6,58.08,31.72,44.65,3.12
2104100270344,10.42,47.88,25.32,29.95,3.2
2104100270359,11.2,49.56,29.86,39.15,2.8
2104100270363,10.72,54.04,24.50,34.41,3.07
2104100270378,11.26,63.91,33.51,44.87,3.03
2104100270382,11.58,62.52,34.07,44.92,2.93
2104100290058,12.73,66.57,53.99,56.17,2.9
210420001006A,7.58,10.98,26.67,5.10,3.76
2104200010074,7.03,4.71,22.35,4.12,3.33
2104300010048,10.31,36.49,26.55,33.14,3.38
2104300010052,10.2,27.42,19.86,29.31,3.43
2104300010067,10.38,35.18,24.87,27.14,3.41
2104300010086,10.4,53.85,23.08,38.46,4.46
2104300270071,8.69,11.81,10.50,17.30,4.08
2104400010045,10.01,42.18,46.94,25.17,3.66
210440001005A,8.83,38.34,37.42,16.26,4.14
2104400010153,9.64,100.00,,0.00,6
2104400200115,7.8,17.70,27.87,9.42,4.14
210440020012A,8.34,19.32,34.32,10.68,4.07
2104400310168,7.63,10.14,24.16,12.84,4.37
2104500010127,7.47,14.62,16.92,9.23,4.56
2104500010131,7.24,,26.67,,3.6
2104500010146,9.17,34.47,30.10,25.73,4.26
210450001017A,7.79,28.43,20.27,14.80,4.57
2104500010184,10.19,44.38,37.12,36.32,3.85
2104500010199,10.23,46.25,40.97,33.86,4
2104500010201,10.19,44.41,31.04,33.05,3.73
2104500010216,10.11,40.12,36.29,32.34,3.99
2104500010220,9.73,41.45,30.18,31.09,3.99
2104500010235,7.68,24.24,33.33,24.24,4.55
210450001024A,8.22,18.39,32.18,6.90,3.92
2104500010273,8.87,33.33,33.33,,5.17
2104500010288,8.06,22.22,14.81,18.52,3.81
2104500010292,6.2,,0.00,,3
2104500010305,10.83,,,0.00,3
210450001031A,9.7,,19.23,,3.62
2104500010324,,,,,
2104500170254,6.94,5.99,20.05,3.65,3.9
2104500170269,6.98,5.63,19.15,4.79,3.89
210460001004A,8.03,34.66,27.07,17.07,4.46
2104600010054,7.66,27.96,21.91,15.62,3.99
2104600010073,7.5,31.48,30.09,15.28,4.34
2104600010088,6.76,32.09,24.63,13.43,4.49
2104600010092,7.66,29.17,22.22,11.11,4.61
2104600010105,5.72,25.00,25.00,7.50,4
2104700010140,8.71,23.53,26.84,19.85,4.01
2104700010155,8.54,26.32,32.63,24.21,4.06
210470001016A,8.01,22.84,24.57,18.53,4
2104700010174,7.74,19.62,22.26,12.45,3.83
2104700010189,9.94,46.04,37.71,37.50,3.61
2104700010193,10.06,45.39,33.26,34.16,3.71
2104700010206,10.34,45.88,36.30,37.42,3.63
2104700010210,9.2,37.36,29.21,25.14,3.69
2104700010259,8.66,36.36,27.27,27.27,3.91
2104700010263,11.61,59.09,65.91,45.45,3.66
2104700010278,8.31,10.23,28.41,13.64,3.33
2104700010297,7.56,,,0.00,4.56
2104700990136,6.94,4.93,28.25,3.14,3.72
2104700990225,7.31,12.94,24.44,6.16,3.99
210470099023A,7.07,9.96,23.89,6.42,3.77
2104700990282,6.07,,20.27,5.41,3.32
2104800010044,8.65,38.89,37.04,22.22,4.8
2104800010059,8.93,31.76,28.24,17.65,4.85
2104800010063,8.1,19.64,28.57,7.14,4
2104800010078,8.9,61.49,33.78,14.19,4.33
210480001010A,9.57,40.60,33.33,25.64,4.36
2104800010114,9.57,43.96,31.11,22.62,4.49
2104800010129,9.15,44.12,17.65,14.71,3.94
2104800010133,8.68,33.85,20.77,18.46,4.34
2104800040186,7.99,19.25,45.99,12.83,4.88
2104800040190,8.38,32.75,52.75,14.95,4.7
2104800050152,8.93,34.37,35.77,18.82,4.36
2104800060025,7.27,27.02,46.21,12.75,4.06
2104800060082,5.47,12.00,36.00,0.00,3.12
2104800060097,7.62,30.12,40.96,14.46,4.19
2104900010018,5.91,3.10,16.87,4.82,3.97
2104900010037,4.6,,3.80,,4.13
2104900010041,4.84,,5.62,2.01,4.01
2104900010056,3.19,0.00,0.00,0.00,4.4
2104900010060,6.05,0.00,0.00,0.00,4.33
2105000010042,6.08,6.55,15.03,4.32,4.71
2105100010016,8.65,39.24,28.35,22.39,3.4
2105100010105,7.62,47.65,32.55,16.86,3.72
210510003011A,8.13,44.00,22.67,30.67,3.45
2105100030143,9.12,44.23,30.77,23.65,3.6
2105100030158,7.87,31.82,30.58,20.25,3.78
2105100030196,7.5,21.62,31.53,12.61,3.95
2105100030209,7.91,23.42,17.12,15.32,3.72
2105100030213,8.18,27.05,30.33,18.85,4.22
2105100030228,10.09,54.86,52.43,39.93,3.34
2105100030232,8.78,52.89,26.67,23.11,3.79
2105100030247,9.04,53.80,28.42,22.78,3.38
2105100030251,8.27,42.39,26.34,23.87,3.67
2105100030266,10.66,55.05,47.71,37.61,3.54
2105100030270,9.76,55.56,43.24,34.23,3.32
2105100030285,7.13,30.30,36.36,16.67,3.68
2105100120162,8.45,56.91,37.50,16.78,3.51
2105100120177,7.32,38.26,34.04,14.51,3.54
2105100120181,8.22,34.73,42.56,21.41,3.68
210510012029A,7.57,60.98,22.93,10.24,3.73
2105100120302,6.74,37.50,0.00,,3.75
2105200010032,6.49,15.13,9.24,7.56,3.1
2105200010047,6.2,26.21,5.83,2.91,3.07
2105200010051,6.35,20.25,7.98,12.27,3.25
2105300010190,9.03,28.31,42.17,25.90,4.05
2105300010218,9.83,35.17,54.24,32.20,3.97
2105300010222,10.42,39.84,52.99,40.24,3.65
2105300010256,10.54,54.34,49.90,46.44,3.49
2105300010260,9.64,40.82,43.55,29.88,3.78
2105300010275,10.62,49.84,50.32,42.79,3.38
210530001028A,10.04,37.68,38.70,32.99,3.63
2105300010294,8.07,19.61,40.90,16.81,3.93
2105300010307,9.5,38.90,46.72,32.77,4.03
2105300010311,8.29,13.89,43.06,19.44,4.17
2105300010330,8.47,21.83,39.44,17.61,4.06
2105300010345,8.65,17.97,40.55,20.74,3.91
210530001035A,9.48,34.04,59.57,19.15,3.81
2105300010364,8.59,26.32,52.63,21.05,4.58
2105300010379,8.63,23.30,51.46,23.30,3.64
2105300010383,6.6,12.73,21.82,7.27,3.91
2105300010398,8.31,21.26,36.22,14.57,3.83
2105300010400,8.29,23.27,45.98,17.45,4.13
2105300010415,9.18,32.69,46.63,29.09,3.72
210530001042A,8.32,22.04,44.08,15.70,3.98
2105300010434,,,,,
2105300010449,11.25,32.28,50.39,31.50,3.38
2105300010453,,,,,
2105300010504,8.9,22.71,45.41,14.49,3.71
2105300010519,12.78,51.22,60.98,53.66,3.44
2105300280010,7.97,22.71,43.96,14.65,3.94
2105300280152,7.05,12.05,36.39,6.27,4.01
2105300920468,7.65,14.29,43.75,9.82,4.13
2105300920472,8.72,19.57,53.62,18.84,3.71
